cell_type,tf,score,padj
CD4T,SP3,-2.940409611596708,0.007079057191741766
CD4T,SP4,0.6687779050391668,0.5835121114676556
CD4T,SPEN,-4.727310883502862,9.234019210874809e-06
CD4T,SREBF1,-3.1873949078197232,0.003474455435767478
CD4T,SREBF2,1.6327317225232874,0.1492886195428353
CD4T,STAT1,4.0663236726042715,0.00015404436905848003
CD4T,STAT2,-0.7638003504244548,0.5243705812159508
CD4T,STAT3,-8.697250201869444,7.875775042475422e-17
CD4T,STAT4,0.20883998701025283,0.8641000883407696
CD4T,STAT5A,0.43823899413754874,0.7249106408324182
CD4T,STAT5B,1.4432152029699774,0.19979469319528723
CD4T,STAT6,-0.5751254099481474,0.6367058950692481
CD4T,TBPL1,2.694579489980758,0.013873968446729598
CD4T,TBX21,5.256743482443023,7.385574864592888e-07
CD4T,TCF12,-1.4490310921553236,0.19890970488778237
CD4T,TCF7,-13.831258383664084,3.604461837389449e-40
CD4T,TFDP2,-4.0470331150573875,0.0001646939321660051
CD4T,TGIF1,4.373533618097532,4.389638626229554e-05
CD4T,THRA,-1.6099192896354908,0.15421143528527007
CD4T,TRERF1,1.468127692894111,0.1943746930941814
CD4T,USF2,1.9289063262478654,0.0843200717740802
CD4T,XBP1,9.289731498388258,4.962878915112116e-19
CD4T,YBX1,7.012572395092604,2.716001708079904e-11
CD4T,YY1,1.284150768845399,0.25687739717616026
CD4T,ZBTB1,-0.8593287110294533,0.46513695972725244
CD4T,ZBTB11,-0.36981843826703886,0.7597348913782342
CD4T,ZBTB20,-5.68316645816105,8.169923672943049e-08
CD4T,ZBTB25,-0.9479456761004331,0.41152324617202796
CD4T,ZBTB7A,4.231723820585862,8.011422598996891e-05
CD4T,ZBTB7B,3.9839091515653813,0.00020855656439460252
CD4T,ZEB1,-4.960487538180671,3.2544292024992357e-06
CD4T,ZEB2,3.723725795011583,0.0005454732129001705
CD4T,ZFX,-1.3126923991041246,0.24735258915518685
CD4T,ZGPAT,1.9837526041956217,0.07535534976967716
CD4T,ZHX2,-1.9646855036245192,0.07819594018530322
CD4T,ZKSCAN1,-2.334180827360459,0.0333488077084805
CD4T,ZNF10,-4.935004481388828,3.555524324686372e-06
CD4T,ZNF101,-3.481561356672134,0.0012574267656888466
CD4T,ZNF148,-5.780543228138576,4.7688603736510176e-08
CD4T,ZNF207,-2.6055448473879266,0.017220466571638976
CD4T,ZNF217,-0.6935199442030198,0.5717310935718078
CD4T,ZNF24,-2.528936707630877,0.020178463973728425
CD4T,ZNF292,0.07151529590715147,0.947617261144039
CD4T,ZNF326,-1.4133326085762659,0.2099415343513378
CD4T,ZNF331,-9.227164697101077,8.193677574941566e-19
CD4T,ZNF335,1.197219723562103,0.2901886127937358
CD4T,ZNF33A,-2.6580690006504457,0.015175786810960127
CD4T,ZNF394,0.16918044295222273,0.8917723215771334
CD4T,ZNF407,-1.6279940377654107,0.14968212260074187
CD4T,ZNF451,-2.891111542976952,0.008034081228451156
CD4T,ZNF511,2.769202296940103,0.011177974206329891
CD4T,ZNF592,1.1058444682985749,0.3262115989414534
CD4T,ZNF609,-5.381052765736777,4.03434409268402e-07
CD4T,ZNF644,-5.295867171887421,6.262086635527931e-07
CD4T,ZNF652,0.04302317978648446,0.965687312494584
CD4T,ZNF708,-2.779406146095404,0.01093928123117086
CD4T,ZNF770,-1.4947041266527892,0.18719827756108526
CD4T,ZNF800,-3.5187839026233108,0.0011078220667468971
CD4T,ZNF83,-2.580474449238364,0.018351250548675167
