gene,pvalue,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
ZNF14,1.3497538249379052e-15,-0.43108994073280754,313,2.531337745758967e-15,healthy,aging,abf300,CD8T
ZNF141,2.96210559716203e-17,-0.45315106459900223,313,9.123884646566809e-17,healthy,aging,abf300,CD8T
ZNF142,1.6102499402598109e-18,0.468989624461735,313,1.453671468521087e-17,healthy,aging,abf300,CD8T
ZNF143,2.0517968960123733e-15,0.4285704589973301,313,3.7347885656172935e-15,healthy,aging,abf300,CD8T
ZNF146,8.316248551107828e-11,0.3564066457466504,313,1.0673157701405667e-10,healthy,aging,abf300,CD8T
ZNF148,0.10937357340184638,0.09067100378319957,313,0.11323620889373315,healthy,aging,abf300,CD8T
ZNF160,1.0419275378813953e-05,0.24630713380127808,313,1.1892492594260997e-05,healthy,aging,abf300,CD8T
ZNF195,1.3749340931561815e-14,0.4168540468466199,313,2.2458584542169884e-14,healthy,aging,abf300,CD8T
ZNF207,1.8875666357969723e-16,0.44265250634497777,313,4.492815880935527e-16,healthy,aging,abf300,CD8T
ZNF217,2.8215411735484164e-05,0.23432060940732993,313,3.1813733475029704e-05,healthy,aging,abf300,CD8T
ZNF22,7.77616626003754e-20,-0.4852723036577335,313,2.2781162984065825e-18,healthy,aging,abf300,CD8T
ZNF224,1.3080911264277129e-16,0.4447601647762722,313,3.3419773276157617e-16,healthy,aging,abf300,CD8T
ZNF226,1.0654582383011103e-12,0.3882029671794578,313,1.4689609731775206e-12,healthy,aging,abf300,CD8T
ZNF236,4.0539986887740006e-16,0.4382117044793384,313,8.854986547635759e-16,healthy,aging,abf300,CD8T
ZNF24,7.792681474002383e-09,-0.31901391180756805,313,9.51869206362666e-09,healthy,aging,abf300,CD8T
ZNF25,4.8931649521575675e-17,0.4503409186017796,313,1.4093076113927271e-16,healthy,aging,abf300,CD8T
ZNF253,1.0059101223236988e-14,-0.4188104032749991,313,1.672511585475523e-14,healthy,aging,abf300,CD8T
ZNF254,0.04047538657058648,0.11588187128576018,313,0.04221870846407616,healthy,aging,abf300,CD8T
ZNF263,0.0001957993039549195,-0.20902048742439508,313,0.00021681950756041783,healthy,aging,abf300,CD8T
ZNF264,1.006858499836031e-15,-0.43284077697611434,313,1.9338434979609283e-15,healthy,aging,abf300,CD8T
ZNF266,1.2324622523381818e-17,0.45800036229916163,313,5.047157080607228e-17,healthy,aging,abf300,CD8T
ZNF267,1.1233086210954609e-17,0.4585088779570835,313,4.8136494203369087e-17,healthy,aging,abf300,CD8T
ZNF273,3.918999245806533e-08,-0.30438322343253194,313,4.7248540690772336e-08,healthy,aging,abf300,CD8T
ZNF274,2.777811896746604e-17,-0.4535088654545377,313,8.73832896320824e-17,healthy,aging,abf300,CD8T
ZNF276,1.9343134427991947e-14,0.4147025441091768,313,3.0783200875404324e-14,healthy,aging,abf300,CD8T
ZNF277,2.5760654604466782e-17,-0.4539283223655949,313,8.243169318786205e-17,healthy,aging,abf300,CD8T
ZNF28,5.33864489317298e-20,0.4874999467304082,313,1.6110834703315667e-18,healthy,aging,abf300,CD8T
ZNF280D,1.0900906204614098e-06,0.2714269852218781,313,1.2702520409979073e-06,healthy,aging,abf300,CD8T
ZNF281,2.5661483537155313e-13,0.39788570816549973,313,3.6556127297175217e-13,healthy,aging,abf300,CD8T
ZNF292,3.8690467243227983e-08,0.3045026208733835,313,4.6747484283020426e-08,healthy,aging,abf300,CD8T
ZNF296,2.83909324955774e-19,0.4781861634099485,313,4.92153206452794e-18,healthy,aging,abf300,CD8T
ZNF302,6.0842126606500635e-19,-0.47414857257407,313,7.821676863989412e-18,healthy,aging,abf300,CD8T
ZNF317,3.447346164096782e-11,0.36311971792515163,313,4.4655158438253666e-11,healthy,aging,abf300,CD8T
ZNF318,2.367120050161752e-18,0.46693422687750186,313,1.9054651352199445e-17,healthy,aging,abf300,CD8T
ZNF319,3.6693687973356054e-19,0.4768242496502024,313,5.5226067225442566e-18,healthy,aging,abf300,CD8T
ZNF32,3.6987901573737385e-13,0.3954290568866015,313,5.215762182170057e-13,healthy,aging,abf300,CD8T
ZNF326,1.1486011438079518e-05,0.24516111410261276,313,1.3083248202475023e-05,healthy,aging,abf300,CD8T
ZNF331,1.785367794772442e-15,-0.4294095685529541,313,3.2711983279218752e-15,healthy,aging,abf300,CD8T
ZNF333,1.4347936620611376e-14,0.4165862834054971,313,2.3367822010761798e-14,healthy,aging,abf300,CD8T
