"gene","meta_p","meta_p_adj"
"RARA",1.44139458636433e-13,1.5499165725964e-13
"RBAK",1.03900290566591e-23,1.16678350495144e-23
"RBCK1",1.62724779806442e-57,1.20850269802918e-56
"RBPJ",2.12727890151946e-21,2.36978869629268e-21
"RBSN",2.57479673101642e-07,2.68569621568566e-07
"REL",2.41509791106974e-52,3.6654210802884e-52
"RELA",2.11495892480036e-56,7.43211461701299e-56
"RELB",1.07943494000496e-36,1.28197283919565e-36
"REPIN1",1.50061339945715e-51,2.17667099869175e-51
"REST",4.6176437148972e-42,5.62806903544363e-42
"REXO4",2.1988308154082e-55,5.30194270208817e-55
"RFX2",3.49645437543279e-56,1.08195838173115e-55
"RFX3",0.000486278240863084,0.000495168153858752
"RFX5",3.44260318720501e-55,7.7948372978585e-55
"RFX7",1.23553726615937e-50,1.72479763721998e-50
"RLF",2.07294555390162e-30,2.41050244994405e-30
"RORA",2.32695701028234e-55,5.56272555676937e-55
"RREB1",9.7891142242767e-08,1.02298998553886e-07
"RUNX1",9.5289597324485e-56,2.52744312903515e-55
"RUNX2",6.69769501419456e-59,1.28641935272633e-57
"RUNX3",1.97589161729123e-56,7.10046213439495e-56
"RXRA",2.58920861435797e-58,3.69792102101894e-57
"RXRB",4.0844145740934e-54,7.7911606772946e-54
"SAFB",3.69161938373126e-47,4.80428036621101e-47
"SAFB2",5.30028424662628e-43,6.50277164178599e-43
"SATB1",2.65728071153036e-58,3.70026339080603e-57
"SCML4",5.87461540645426e-59,1.16862885049822e-57
"SETBP1",1.98671950675766e-54,3.93808813261215e-54
"SETDB1",4.67766388861966e-50,6.43323157027444e-50
"SETDB2",6.57029753309005e-52,9.75908193581643e-52
"SGSM2",2.32171194478867e-49,3.13881930399827e-49
"SKIL",4.58338494765971e-16,5.01560985431524e-16
"SLC2A4RG",4.69684818958498e-51,6.67383786122151e-51
"SMAD3",1.05677747099924e-59,3.44206938125719e-58
"SMAD4",4.03145301742941e-43,4.9569963150291e-43
"SMAD5",5.50878031440139e-56,1.58164465727916e-55
"SMYD3",5.32635089997462e-51,7.52989200833976e-51
"SNAI3",1.30445020421911e-58,2.07593932500013e-57
"SNAPC2",5.87496140497742e-57,2.94806621853372e-56
"SNAPC5",4.03939759174034e-47,5.24462577762091e-47
"SON",8.95740422515224e-42,1.08936116886677e-41
"SOX13",4.87531727170398e-55,1.06492224327024e-54
"SOX4",2.63770095561935e-61,7.3459971613999e-59
"SP1",2.64717958418938e-53,4.45461942112836e-53
"SP100",1.68368376311893e-53,2.88557494171459e-53
"SP110",2.08320046048463e-57,1.46878817277207e-56
"SP140",4.14758767415575e-58,4.52981634216618e-57
"SP140L",2.0426961363526e-10,2.15488967414469e-10
"SP2",9.32665599978004e-56,2.48562076166387e-55
"SP3",2.53619491524015e-55,6.01132156505856e-55
"SP4",5.50926737610554e-57,2.86790834438391e-56
"SPEN",3.32862024484226e-54,6.41536843037072e-54
"SRCAP",3.3075531676403e-56,1.05879719216991e-55
"SREBF1",4.97329330089115e-59,1.02597198836903e-57
