gene,pvalue,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type
ZBTB44,0.39307988402856964,0.03430301935580499,622,0.44569687637885064,healthy,aging,aida,MONO
ZBTB7A,2.8505011488034687e-15,0.3094687527102183,622,4.829067357972935e-14,healthy,aging,aida,MONO
ZBTB7B,0.10596072814165837,0.06488268206993565,622,0.135931802693976,healthy,aging,aida,MONO
ZC3H8,0.018743825216608587,0.09422970621740268,622,0.02983239372606693,healthy,aging,aida,MONO
ZEB2,0.04037820709711156,0.08221803996465071,622,0.058290344080040746,healthy,aging,aida,MONO
ZFAT,0.0009448168146068762,0.13226029742972956,622,0.002134174451817885,healthy,aging,aida,MONO
ZFHX3,0.9893551984413596,-0.0005360306644307559,622,0.9945350685902672,healthy,aging,aida,MONO
ZFP14,3.9374576331116335e-05,0.16405276974127056,622,0.00012599864425957225,healthy,aging,aida,MONO
ZFP90,0.027182798638961652,0.08857216457109329,622,0.04186441715519228,healthy,aging,aida,MONO
ZFP91,0.06957894481470153,0.07281037880369998,622,0.09380676325524592,healthy,aging,aida,MONO
ZFX,0.014390470234268279,0.09809099267036091,622,0.02388735116696982,healthy,aging,aida,MONO
ZFY,0.05188134665521801,0.0779901046462543,622,0.07218274317247722,healthy,aging,aida,MONO
ZGPAT,6.325535116140225e-05,0.15968924916896104,622,0.00019380362909025365,healthy,aging,aida,MONO
ZHX1,7.569438339976728e-06,0.1784283484342109,622,2.831166547939344e-05,healthy,aging,aida,MONO
ZHX2,4.95586854645004e-05,0.16194942741654014,622,0.0001568450704810562,healthy,aging,aida,MONO
ZKSCAN1,0.34207944897683273,0.03815699777355415,622,0.3925055032084774,healthy,aging,aida,MONO
ZKSCAN8,1.5060917746109947e-05,0.17257236744277052,622,5.289688183999588e-05,healthy,aging,aida,MONO
ZMAT1,5.7084827631409137e-05,0.16064363367148668,622,0.00017773438224698193,healthy,aging,aida,MONO
ZNF100,0.005239024908067448,0.1118209451128341,622,0.010092569722564716,healthy,aging,aida,MONO
ZNF101,0.2510360740539903,0.046092301847723824,622,0.2975242359158404,healthy,aging,aida,MONO
ZNF107,2.807810941645484e-06,0.186551291924346,622,1.1231243766581895e-05,healthy,aging,aida,MONO
ZNF12,0.013164964876155975,0.09936363836492676,622,0.02210792935471091,healthy,aging,aida,MONO
ZNF121,0.00150574743087204,0.12698863500771912,622,0.0032977586318718444,healthy,aging,aida,MONO
ZNF124,0.8015154838777844,0.010099729601040094,622,0.8312619991399816,healthy,aging,aida,MONO
ZNF131,0.00019650011207228508,0.1487654076520745,622,0.0005288974979141878,healthy,aging,aida,MONO
ZNF136,3.7195918610798253e-05,0.1645692457995446,622,0.0001196918945241329,healthy,aging,aida,MONO
ZNF141,0.0002740709489625637,0.1454129150906859,622,0.00070209089419873,healthy,aging,aida,MONO
ZNF143,2.1997061124391426e-06,0.1884972496000346,622,9.235816265898756e-06,healthy,aging,aida,MONO
ZNF146,0.05074103562707798,0.07837189336620412,622,0.0710806122136083,healthy,aging,aida,MONO
ZNF148,0.013297164892908445,0.09922144345459595,622,0.02226502028580019,healthy,aging,aida,MONO
ZNF160,5.47896106735705e-05,0.16102370138655794,622,0.0001724525450709104,healthy,aging,aida,MONO
ZNF169,2.3003729495855934e-05,0.1688687649440504,622,7.6590451963081e-05,healthy,aging,aida,MONO
ZNF195,0.057843036071452275,0.07610094013155912,622,0.07932759232656313,healthy,aging,aida,MONO
ZNF207,0.0423620464069399,0.08142201285305481,622,0.060397373095043026,healthy,aging,aida,MONO
ZNF217,1.0029592833049899e-12,0.28068858766239846,622,9.791602397011426e-12,healthy,aging,aida,MONO
ZNF22,0.0010740468441908274,-0.13082926940213427,622,0.002379426854822756,healthy,aging,aida,MONO
ZNF224,1.9475152488062137e-05,0.17033413824291835,622,6.560051364399875e-05,healthy,aging,aida,MONO
ZNF236,0.009290559308159781,0.10422300787906694,622,0.01646572972769241,healthy,aging,aida,MONO
ZNF24,2.378428458495223e-10,0.25044235093691936,622,1.8766777973091073e-09,healthy,aging,aida,MONO
ZNF25,8.232057676446118e-11,0.25661966099866185,622,6.67840171979854e-10,healthy,aging,aida,MONO
ZNF254,0.7892730925878723,0.01073722472700844,622,0.8235893140047362,healthy,aging,aida,MONO
ZNF26,0.4009471329348534,-0.033736434619254387,622,0.45194823595005,healthy,aging,aida,MONO
ZNF263,0.002584092075571937,0.120624184372005,622,0.005392887809889259,healthy,aging,aida,MONO
