gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
ETV6,0.0021439836959080832,0.12275908861393367,623,0.002457191748875525,healthy,aging,aida,CD4T,4.63704459117806e-16,5.7985054754959e-16,15.236683928399795,Increase in aging
FAM200B,6.64457539170656e-09,0.22970609727574956,623,3.8750222859598434e-08,healthy,aging,aida,CD4T,8.51501683628413e-25,5.50136872069729e-24,23.259529246161353,Increase in aging
FLI1,6.241349306955782e-16,0.31618798312073176,623,4.570054659204289e-14,healthy,aging,aida,CD4T,4.24254878175517e-32,1.2708362032621198e-30,29.895910421596692,Increase in aging
FLYWCH1,2.633210124212043e-06,0.18691696778167363,623,4.222105770938531e-06,healthy,aging,aida,CD4T,2.77727830592767e-24,1.59150122052725e-23,22.798193023981057,Increase in aging
FOS,0.21614502774864122,0.04962223048303202,623,0.22790331725816732,healthy,aging,aida,CD4T,9.3185970697412e-08,9.93682114718358e-08,7.0027525269747315,Inconsistent
FOSB,0.3551695646193578,0.03710541982490687,623,0.36859329619552245,healthy,aging,aida,CD4T,2.72762838248858e-07,2.89453639945245e-07,6.538420984711118,Inconsistent
FOSL2,0.012769435107062577,0.09971667823131894,623,0.014360166784222249,healthy,aging,aida,CD4T,8.197730816180241e-15,9.78678370989634e-15,14.009360009580039,Inconsistent
FOXJ2,1.9589674639114976e-07,0.2066227302863397,623,4.3910189072029827e-07,healthy,aging,aida,CD4T,5.7418645260721894e-18,9.00925886352756e-18,17.04531093429498,Increase in aging
FOXJ3,2.75341080980823e-07,0.20415078807767306,623,5.91041603799226e-07,healthy,aging,aida,CD4T,1.40740333339133e-18,2.4279549651960398e-18,17.614759373012035,Increase in aging
FOXK1,0.0003379346341287743,0.1431507129382096,623,0.00040564467011086023,healthy,aging,aida,CD4T,2.5075110471090502e-17,3.53087559838646e-17,16.45211758345249,Inconsistent
FOXK2,9.990115388424217e-09,0.22705411975248588,623,5.064220031516584e-08,healthy,aging,aida,CD4T,2.7298196187995e-26,3.10163987722219e-25,24.50840862831945,Increase in aging
FOXN2,1.5522426065476714e-09,0.23890877377857045,623,1.4537054893644964e-08,healthy,aging,aida,CD4T,5.738950499326799e-19,1.05347308608812e-18,17.97737655517949,Increase in aging
FOXN3,0.31037070846093523,0.04070776438111919,623,0.32311895241035754,healthy,aging,aida,CD4T,0.0002084993924061,0.0002123664599623,3.672914072352781,Inconsistent
FOXO1,0.3848617027228275,-0.03487412870889402,623,0.39877965738104293,healthy,aging,aida,CD4T,0.0006147217640409,0.0006241935939953,3.2046806927465727,Decrease in aging
FOXO3,8.709650342488259e-08,0.21238984250025525,623,2.51739455074551e-07,healthy,aging,aida,CD4T,1.0513760725767899e-18,1.84761821820828e-18,17.733387764097976,Increase in aging
FOXP1,8.073057850054778e-06,-0.17774698209773107,623,1.1392173711319269e-05,healthy,aging,aida,CD4T,4.27267664660318e-24,2.3270197604227202e-23,22.63319992878628,Decrease in aging
GABPA,1.2139966758372082e-07,0.21004690119190028,623,3.238962790998867e-07,healthy,aging,aida,CD4T,2.38672729797851e-18,3.94198819390435e-18,17.404284680749086,Increase in aging
GATA3,9.613520637132155e-17,0.3245120535301462,623,1.055885016645015e-14,healthy,aging,aida,CD4T,1.0639563053913299e-42,1.9041748960134e-40,39.72029316473034,Increase in aging
GATAD2A,7.649969868165262e-09,0.22879345996542436,623,4.345974261311127e-08,healthy,aging,aida,CD4T,1.02572892574916e-18,1.81221276694021e-18,17.74179081433943,Increase in aging
GATAD2B,1.4467065850202402e-06,0.19164030707696172,623,2.4892418786640686e-06,healthy,aging,aida,CD4T,4.78547952853568e-16,5.97278600247162e-16,15.223823045207828,Increase in aging
GFI1,6.07010583100762e-06,0.1801247737551408,623,8.791647786008839e-06,healthy,aging,aida,CD4T,1.78551557261121e-13,2.07889533984239e-13,12.682167374291936,Increase in aging
GLI4,2.799631061948966e-09,0.2352223564785914,623,2.1452986858422893e-08,healthy,aging,aida,CD4T,4.95593718935394e-27,6.04807890330416e-26,25.218382551659285,Increase in aging
GLMP,6.013588887861192e-07,0.19835957352121325,623,1.1553804889505907e-06,healthy,aging,aida,CD4T,2.72713345463261e-26,3.10163987722219e-25,24.50840862831945,Increase in aging
GLYR1,8.613372076152779e-08,0.21246780898628162,623,2.5115983177808325e-07,healthy,aging,aida,CD4T,4.6465026545583404e-17,6.26185122567269e-17,16.20329725493005,Increase in aging
GMEB1,1.499794000836792e-07,0.20854116257080965,623,3.786836193683701e-07,healthy,aging,aida,CD4T,4.29482975636853e-20,9.75963037740298e-20,19.01056662988392,Increase in aging
GMEB2,8.79255686877676e-08,0.21232336868631743,623,2.5302598150759324e-07,healthy,aging,aida,CD4T,1.40484929771002e-25,1.20233206128688e-24,23.91997557187708,Increase in aging
GPBP1,8.32567776161079e-08,0.21270590339378398,623,2.438498508845116e-07,healthy,aging,aida,CD4T,2.52525591900554e-21,7.4292127260029e-21,20.129057206006326,Increase in aging
GPBP1L1,5.774437740785861e-08,0.21525313129239587,623,1.8207437661138193e-07,healthy,aging,aida,CD4T,2.94793377969439e-18,4.85672090204651e-18,17.313656853122353,Increase in aging
GTF2B,0.13055764666739816,0.06063928466687723,623,0.14012620383357555,healthy,aging,aida,CD4T,4.44268974488701e-13,5.127377481401999e-13,12.290104708294896,Inconsistent
GTF2I,2.957434626130647e-07,0.20362783426436407,623,6.248283949434973e-07,healthy,aging,aida,CD4T,4.349754892332961e-15,5.278984298429871e-15,14.27744962974282,Increase in aging
GTF2IRD2,2.6438758334246942e-08,0.22058928071408285,623,1.0088973665647819e-07,healthy,aging,aida,CD4T,9.897857512345651e-24,4.72658558017086e-23,22.325452474306978,Increase in aging
GTF2IRD2B,1.6278150804728072e-06,0.19071935433434775,623,2.764768396988608e-06,healthy,aging,aida,CD4T,1.31146126902715e-19,2.7007905509027803e-19,18.56850909449237,Increase in aging
GTF3A,5.750043301675779e-17,0.3267545890963883,623,7.578557071608675e-15,healthy,aging,aida,CD4T,8.119948290221071e-46,2.67552296162784e-43,42.57259131751145,Increase in aging
GZF1,0.00015199259118486627,0.15118513325993174,623,0.00018583138699596822,healthy,aging,aida,CD4T,8.85757197530574e-23,3.37406932469739e-22,21.471845998503195,Increase in aging
HBP1,0.04222563872342284,0.08141026645881987,623,0.046532936318955935,healthy,aging,aida,CD4T,4.22324781039289e-13,4.88266720534897e-13,12.311342875512299,Inconsistent
HIF1A,0.5908208046378945,0.02158120276309409,623,0.6017788411999575,healthy,aging,aida,CD4T,1.16492590158081e-05,1.19577284913046e-05,4.9223513117677555,Inconsistent
HINFP,1.66608412680282e-05,0.17156027565274592,623,2.2452953774295675e-05,healthy,aging,aida,CD4T,3.91854736136548e-24,2.1700190849914702e-23,22.663536446580025,Increase in aging
HIVEP1,0.5075639978876985,0.026596649542482212,623,0.5201821313595911,healthy,aging,aida,CD4T,1.28533079201486e-05,1.31731413987215e-05,4.880310646492588,Inconsistent
HIVEP2,0.01926284389990326,0.09374803468978543,623,0.021515617169552966,healthy,aging,aida,CD4T,1.52687119563093e-08,1.6549475623697e-08,7.781215762452777,Inconsistent
HIVEP3,1.566207735127151e-09,0.23885324654863063,623,1.4537054893644964e-08,healthy,aging,aida,CD4T,2.1699755946189003e-22,7.5263890360729295e-22,21.123413336925932,Increase in aging
HMBOX1,1.6849172336634532e-07,0.20770741016739042,623,4.0376743890335115e-07,healthy,aging,aida,CD4T,2.72143603981582e-17,3.8239367808926e-17,16.417489296295635,Increase in aging
HMG20A,3.8364553746716585e-08,0.218063126851331,623,1.337684704713557e-07,healthy,aging,aida,CD4T,9.88724390756021e-24,4.72658558017086e-23,22.325452474306978,Increase in aging
HMG20B,8.97228368945016e-09,0.22775609117076853,623,4.655696812084768e-08,healthy,aging,aida,CD4T,7.38170250302118e-21,1.94581677979638e-20,19.710898055778642,Increase in aging
HMGA1,1.6170987478657688e-15,0.31184931324090076,623,9.687891589486743e-14,healthy,aging,aida,CD4T,1.4394730062211e-23,6.49734733629933e-23,22.18726391602575,Increase in aging
HMGN3,1.944131607750799e-09,0.23750892660268472,623,1.708243639343702e-08,healthy,aging,aida,CD4T,2.1354481880491e-19,4.27738710007403e-19,18.368821444665166,Increase in aging
HOXB2,2.337482418663889e-10,0.2503492944544914,623,2.8007289343627322e-09,healthy,aging,aida,CD4T,1.4880842706810401e-25,1.24132599288456e-24,23.90611415055683,Increase in aging
HSF1,1.9509146179796332e-08,0.22262944099838508,623,8.291951098150575e-08,healthy,aging,aida,CD4T,4.54130008471027e-21,1.26049591649568e-20,19.899458556926263,Increase in aging
HSF2,0.09818492373135937,0.0663150264143607,623,0.10624608331521482,healthy,aging,aida,CD4T,9.57936285039542e-09,1.04343803610092e-08,7.981533336132275,Inconsistent
IKZF1,0.2460965741382128,-0.04653799941387109,623,0.2586565268852986,healthy,aging,aida,CD4T,2.18328030724797e-05,2.23066933717273e-05,4.651564802501622,Decrease in aging
IKZF2,0.5071210243497712,0.026624400746359154,623,0.5201821313595911,healthy,aging,aida,CD4T,0.0002239621987492,0.0002277640261971,3.642514868746029,Inconsistent
IKZF3,9.50277127399817e-10,0.2419300806063825,623,9.784884796194992e-09,healthy,aging,aida,CD4T,9.210998310734121e-23,3.47001007101951e-22,21.45966926475326,Increase in aging
IKZF5,0.000959490443087811,0.13198345970726297,623,0.001125096444830725,healthy,aging,aida,CD4T,2.6450747897610404e-15,3.227970900838e-15,14.491070388963116,Inconsistent
IRF1,0.022940479672801148,0.091116262425874,623,0.02553678396009452,healthy,aging,aida,CD4T,4.9467796331083506e-15,5.992514298195601e-15,14.222390921062345,Inconsistent
IRF2,1.155711792042855e-09,0.24072990309416953,623,1.1367374193376737e-08,healthy,aging,aida,CD4T,1.25677503958129e-17,1.8653485384776302e-17,16.729240008790857,Increase in aging
